"Station","Code","Count","days","RAI","habitat_type","trail","river_dist","ocean_dist","road_dist","trail_dist","altitude","canopy_cover","canopy_height","Y","X"
"CT32","tayra",1,91,1.1,"primary","off",40,2143,1001,364,72,52.63,12.715,8.41358333333333,-83.3304166666667
"CT33","tayra",0,108,0,"plantation","off",312,2116,920,13,185,37.63,4.541,8.41194444444444,-83.3262777777778
"CT34","tayra",1,110,0.91,"plantation","off",105,2223,411,47,193,10.02,6.805,8.41141666666667,-83.3216666666667
"CT35","tayra",4,109,3.67,"plantation","on",90,2176,274,1,243,59.29,9.307,8.40897222222222,-83.31725
"CT36","tayra",0,82,0,"primary","off",136,2097,570,1,172,85.78,12.398,8.40597222222222,-83.3144722222222
"CT38","tayra",0,94,0,"primary","off",772,2749,677,558,47,60.12,21.461,8.42577777777778,-83.3496388888889
"CT39","tayra",1,94,1.06,"primary","off",894,2734,344,100,51,65.39,15.923,8.42433333333333,-83.34575
"CT40","tayra",0,108,0,"primary","off",591,2698,128,230,175,35.4,8.216,8.42258333333333,-83.3415
"CT42","tayra",0,104,0,"plantation","off",131,2649,832,636,85,79.31,11.111,8.41966666666667,-83.3341666666667
"CT43","tayra",0,91,0,"secondary","off",10,2669,1286,343,78,84.21,17.369,8.41802777777778,-83.32875
"CT44","tayra",0,108,0,"plantation","off",204,2617,887,26,242,64.24,10.925,8.41613888888889,-83.3245277777778
"CT46","tayra",0,106,0,"plantation","off",121,2623,76,375,300,49.74,17.294,8.41305555555556,-83.31625
"CT47","tayra",1,102,0.98,"plantation","off",188,2723,30,591,317,61.45,7.702,8.411,-83.3116111111111
"CT50","tayra",0,54,0,"primary","off",155,3207,760,150,95,51.21,15.451,8.42522222222222,-83.3348611111111
"CT52","tayra",0,104,0,"plantation","off",213,3088,1368,5,305,37.29,8.71,8.42152777777778,-83.3271944444444
"CT53","tayra",0,104,0,"primary","off",52,3078,839,206,207,60.59,14.369,8.41988888888889,-83.3226388888889
"CT55","tayra",0,106,0,"plantation","off",273,3165,152,21,300,72.26,12.334,8.41752777777778,-83.3142222222222
"CT59","tayra",0,106,0,"secondary","off",901,3845,1520,17,295,90.18,15.222,8.42902777777778,-83.3280833333333
"CT60","tayra",1,106,0.94,"primary","on",570,3680,1522,6,290,65.87,12.986,8.4265,-83.3251944444444
"CT61","tayra",0,106,0,"primary","off",409,3605,1042,8,317,35.98,17.093,8.42436111111111,-83.3209722222222
"CT62","tayra",0,106,0,"primary","off",623,3587,686,16,296,85.41,18.706,8.42277777777778,-83.3166944444445
"TCT01","tayra",0,93,0,"primary","on",406,1769,991,0,77,22.53,19.242,8.41002777777778,-83.3304166666667
"TCT02","tayra",0,80,0,"primary","on",610,1402,823,0,38,32.53,22.273,8.40575,-83.3280833333333
"TCT03","tayra",1,92,1.09,"plantation","on",124,3021,1297,0,298,11.95,10.521,8.42075,-83.3268333333333
"TCT04","tayra",4,90,4.44,"primary","on",211,1533,511,0,61,40.18,12.84,8.4095,-83.3356111111111
"TCT05","tayra",2,91,2.2,"secondary","on",217,1469,20,0,38,4.78,17.347,8.41038888888889,-83.3401388888889
"TCT06","tayra",0,76,0,"secondary","on",818,1629,187,0,10,29.11,28.245,8.41344444444444,-83.3446944444444
"TCT07","tayra",0,75,0,"agricultural_matrix","on",1230,595,184,0,6,24.64,13.121,8.40547222222222,-83.3503333333333
"TCT08","tayra",0,74,0,"primary","on",857,2160,17,0,86,16.67,12.831,8.41813888888889,-83.3435833333333
"TCT09","tayra",1,76,1.32,"secondary","on",390,608,159,0,7,7.89,10.792,8.40266666666667,-83.3415833333333
